Date/Time,Lat,Lon,Base
08/01/14 6:15,40.7447,-73.9891,B02512
08/01/14 6:20,40.7054,-74.0075,B02512
08/01/14 6:24,40.7695,-73.9575,B02512
08/01/14 6:24,40.6754,-73.872,B02512
08/01/14 6:29,40.7659,-73.9167,B02512
08/01/14 6:29,40.7448,-73.9947,B02512
08/01/14 6:29,40.7241,-73.9784,B02512
08/01/14 6:31,40.6691,-73.9422,B02512
08/01/14 6:32,40.7234,-74.0096,B02512
08/01/14 6:34,40.7236,-74.0109,B02512
08/01/14 6:35,40.9308,-73.8488,B02512
08/01/14 6:35,40.7649,-73.9833,B02512
08/01/14 6:36,40.7704,-73.9646,B02512
08/01/14 6:36,40.7198,-74.0075,B02512
08/01/14 6:39,40.6847,-73.9712,B02512
08/01/14 6:39,40.6949,-74.1771,B02512
08/01/14 6:40,40.673,-73.9866,B02512
08/01/14 6:43,40.6448,-73.7822,B02512
08/01/14 6:43,40.7434,-73.9744,B02512
08/01/14 6:43,40.9464,-73.726,B02512
08/01/14 6:45,40.7245,-73.992,B02512
08/01/14 6:45,40.717,-74.0124,B02512
08/01/14 6:46,40.763,-73.976,B02512
08/01/14 6:46,40.7808,-73.9488,B02512
08/01/14 6:48,40.9086,-73.9463,B02512
08/01/14 6:50,40.796,-73.9498,B02512
08/01/14 6:51,40.758,-73.9849,B02512
08/01/14 6:51,40.7855,-73.9803,B02512
08/01/14 6:52,40.7215,-74.0042,B02512
08/01/14 6:55,40.7769,-73.9533,B02512
08/01/14 6:55,40.7451,-73.9886,B02512
08/01/14 6:56,40.7328,-73.9877,B02512
08/01/14 6:57,40.7441,-73.9714,B02512
08/01/14 6:58,40.724,-73.9783,B02512
08/01/14 6:58,40.775,-73.9894,B02512
08/01/14 7:01,40.7638,-73.9638,B02512
08/01/14 7:02,40.6485,-73.9608,B02512
08/01/14 7:02,40.7196,-74.0063,B02512
08/01/14 7:03,40.7425,-73.9777,B02512
08/01/14 7:04,40.7949,-73.9483,B02512
08/01/14 7:05,40.7287,-73.9857,B02512
08/01/14 7:05,40.6674,-73.8835,B02512
08/01/14 7:06,40.7399,-73.9865,B02512
08/01/14 7:08,40.7104,-74.0067,B02512
08/01/14 7:12,40.6879,-74.1816,B02512
08/01/14 7:14,40.7221,-73.9852,B02512
08/01/14 7:15,40.7313,-74.0099,B02512
08/01/14 7:15,40.7495,-73.9908,B02512
08/01/14 7:16,40.7109,-74.0059,B02512
08/01/14 7:17,40.7622,-73.9793,B02512
08/01/14 7:18,40.7634,-73.9093,B02512
08/01/14 7:22,40.7368,-73.9857,B02512
08/01/14 7:25,40.784,-73.9739,B02512
08/01/14 7:25,40.7394,-73.9943,B02512
08/01/14 7:29,40.775,-73.9612,B02512
08/01/14 7:30,40.7377,-73.9796,B02512
08/01/14 7:30,40.7587,-73.982,B02512
08/01/14 7:35,40.7387,-74.0083,B02512
08/01/14 7:36,40.7767,-73.9566,B02512
08/01/14 7:38,40.7651,-73.9752,B02512
08/01/14 7:39,40.7658,-73.9265,B02512
08/01/14 7:39,40.7398,-73.9854,B02512
08/01/14 7:39,40.7776,-73.9745,B02512
08/01/14 7:39,40.7756,-73.9824,B02512
08/01/14 7:40,40.7409,-73.9876,B02512
08/01/14 7:40,40.7171,-73.8001,B02512
08/01/14 7:42,40.6851,-73.981,B02512
08/01/14 7:43,40.7757,-73.9559,B02512
08/01/14 7:45,40.7271,-73.9796,B02512
08/01/14 7:45,40.7771,-73.9779,B02512
08/01/14 7:45,40.9614,-73.8648,B02512
08/01/14 7:46,40.7409,-73.9979,B02512
08/01/14 7:50,40.7244,-74.001,B02512
08/01/14 7:50,40.7671,-73.9794,B02512
08/01/14 7:52,40.7882,-73.9673,B02512
08/01/14 7:58,40.7445,-73.9944,B02512
08/01/14 7:58,40.7218,-73.9873,B02512
08/01/14 7:58,40.7246,-73.9819,B02512
08/01/14 7:59,40.7766,-73.9528,B02512
08/01/14 7:59,40.7262,-73.9912,B02512
08/01/14 8:04,40.7328,-73.9937,B02512
08/01/14 8:05,40.7618,-73.9771,B02512
