Date/Time,Lat,Lon,Base
05/01/14 6:19,40.7643,-73.9959,B02512
05/01/14 6:21,40.7355,-74.0033,B02512
05/01/14 6:25,40.7783,-73.955,B02512
05/01/14 6:27,40.7356,-73.9925,B02512
05/01/14 6:29,40.7439,-73.9916,B02512
05/01/14 6:31,40.7644,-73.9656,B02512
05/01/14 6:35,40.7388,-74.0089,B02512
05/01/14 6:40,40.7239,-74.0368,B02512
05/01/14 6:42,40.7667,-73.971,B02512
05/01/14 6:43,40.7365,-73.997,B02512
05/01/14 6:44,40.7817,-73.949,B02512
05/01/14 6:44,40.7825,-73.9826,B02512
05/01/14 6:44,40.7431,-74.0369,B02512
05/01/14 6:46,40.7209,-74.0787,B02512
05/01/14 6:46,40.8,-73.9688,B02512
05/01/14 6:49,40.8551,-73.9311,B02512
05/01/14 6:51,40.7621,-73.9788,B02512
05/01/14 6:53,40.745,-74.0024,B02512
05/01/14 6:55,40.7586,-73.9892,B02512
05/01/14 6:55,40.7739,-73.9498,B02512
05/01/14 6:55,40.7842,-73.9484,B02512
05/01/14 6:57,40.7367,-73.9857,B02512
05/01/14 6:59,40.7093,-74.0055,B02512
05/01/14 7:00,40.7831,-73.9845,B02512
05/01/14 7:01,40.7067,-74.0162,B02512
05/01/14 7:01,40.8079,-73.9556,B02512
05/01/14 7:03,40.6781,-73.9979,B02512
05/01/14 7:03,40.6701,-73.9831,B02512
05/01/14 7:03,40.7712,-73.95,B02512
05/01/14 7:03,40.6912,-73.99,B02512
05/01/14 7:04,40.717,-74.033,B02512
05/01/14 7:05,40.7375,-74.0077,B02512
05/01/14 7:05,40.7739,-73.8715,B02512
05/01/14 7:06,40.7522,-73.9766,B02512
05/01/14 7:07,40.734,-74.0047,B02512
05/01/14 7:09,40.7887,-73.9775,B02512
05/01/14 7:10,40.786,-73.9529,B02512
05/01/14 7:12,40.7749,-73.9486,B02512
05/01/14 7:12,40.7612,-73.9988,B02512
05/01/14 7:13,40.6879,-73.9954,B02512
05/01/14 7:13,40.7688,-73.958,B02512
05/01/14 7:13,40.6782,-73.9759,B02512
05/01/14 7:15,40.7758,-73.9588,B02512
05/01/14 7:17,40.7731,-73.9545,B02512
05/01/14 7:17,40.7231,-73.991,B02512
05/01/14 7:17,40.7675,-73.9925,B02512
05/01/14 7:19,40.7739,-73.9615,B02512
05/01/14 7:19,40.7425,-74.039,B02512
05/01/14 7:19,40.7798,-73.9747,B02512
05/01/14 7:20,40.6461,-73.7768,B02512
05/01/14 7:21,40.7213,-73.9875,B02512
05/01/14 7:21,40.788,-73.9759,B02512
05/01/14 7:22,40.7752,-73.9629,B02512
05/01/14 7:25,40.762,-73.9936,B02512
05/01/14 7:25,40.762,-73.9936,B02512
05/01/14 7:26,40.7791,-73.9559,B02512
05/01/14 7:26,40.7344,-74.0062,B02512
05/01/14 7:26,40.7931,-73.9746,B02512
05/01/14 7:27,40.7716,-73.9827,B02512
05/01/14 7:27,40.7327,-73.9578,B02512
05/01/14 7:30,40.7855,-73.9504,B02512
05/01/14 7:30,40.7764,-73.9827,B02512
05/01/14 7:32,40.7512,-73.9852,B02512
